year,burned_area_nat,burned_area_ca
1985,1.172030144842,NA
1986,1.1004067931319998,NA
1987,0.9903864290559999,0.353290878
1988,2.02718953294,0.13961666999999997
1989,0.73948677466,0.0701725524
1990,1.870305316006,0.1477913272
1991,1.1952716665079999,0.017887121199999998
1992,0.8376712872939999,0.11442294306999999
1993,0.727453031764,0.125363224394
1994,1.6485203911939998,0.212953462234
1995,0.744843198556,0.08490919309
1996,2.454824466628,0.30447441519199997
1997,1.156171309874,0.11488428511
1998,0.538112592944,0.08717422063199999
1999,2.276801071798,0.4746359751
2000,2.987996248198,0.11939289183599999
2001,1.445097688946,0.15270421524
2002,2.9075523604319997,0.217808480176
2003,1.602897305612,0.39083359821999997
2004,3.27709866568,0.125867058464
2005,3.5164740768539997,0.11299399680399999
2006,3.99576636907,0.34938363467
2007,3.77492921887,0.6152692163319999
2008,2.141787705048,0.64494403134
2009,2.396463889196,0.18290552673399998
2010,1.385128484664,0.054414888932
2011,3.525368265762,0.092510814914
2012,3.774197951268,0.335575343664
2013,1.748059792556,0.24347326161
2014,1.455094242518,0.25314728044
2015,4.097506048214,0.356487492714
2016,2.2272047790680003,0.27095103632399997
2017,4.057416638996,0.626627538294
2018,3.5480812675119995,0.799289652996
2019,1.8876028097039999,0.12370203597411765
2020,3.2981085344964702,1.6052341530164707
