"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","14.9301575464598","71","11.1776436781609","18.4172698868819"
"2001","13.4790728111978","71","10.0060344827586","16.4541287878788"
"2002","12.6964643000152","71","9.12970344109357","15.2557864010989"
"2003","12.5936402373798","71","9.19362625139043","15.1646266427718"
"2004","12.9874049083349","71","9.61912024756852","15.8115187657068"
"2005","13.3666215962987","71","9.56957922824302","16.1310210622711"
"2006","12.9394859084361","71","9.17489247311828","15.9739880952381"
"2007","12.6510956583914","71","9.30289859102707","15.365287027787"
"2008","10.9852806527796","71","7.76513938647559","13.4026923076923"
"2009","9.50101815505141","71","7.24354838709677","11.5300319284802"
"2010","10.353256369593","71","7.62926843317972","12.341481092437"
"2011","9.92748795354427","71","7.35742261138107","11.9972373468007"
"2012","8.81181825614883","71","6.99993421052632","10.4309935195711"
"2013","8.23732103455208","71","6.20663499025341","9.71785714285714"
"2014","8.64855142645829","71","6.43885972461274","10.3279215733116"
"2015","7.93984815359459","71","5.82068965517241","9.18497311827957"
"2016","7.78220060859911","71","6.43739247311828","9.25540925861578"
"2017","7.85239410058443","71","6.7285511679644","9.30036882544391"
"2018","7.42696206982449","71","6.47322418643798","8.72468875673826"
"2019","7.76564539862346","71","6.59281609195402","9.05544802867384"
